Invoice,StockCode,Description,Quantity,InvoiceDate,Price,CustomerID,Country
489874,22354,RETRO SPOT PADDED SEAT CUSHION,5,2/12/2009 15:38,3.75,18001,United Kingdom
489875,79160,HEART SHAPE WIRELESS DOORBELL,11,2/12/2009 15:41,2.1,17841,United Kingdom
489875,20620,RED SPOTTY PASSPORT COVER,1,2/12/2009 15:41,2.1,17841,United Kingdom
489875,84750B,BLACK SMALL GLASS CAKE STAND,1,2/12/2009 15:41,1.95,17841,United Kingdom
489875,21218,RED SPOTTY BISCUIT TIN,1,2/12/2009 15:41,3.75,17841,United Kingdom
489875,84765,SILVER ROCOCO CANDELABRA,3,2/12/2009 15:41,12.75,17841,United Kingdom
489875,79072,TEATIME CAKE TIN WITH HANDLE,1,2/12/2009 15:41,9.95,17841,United Kingdom
489875,85099B,JUMBO BAG RED WHITE SPOTTY ,2,2/12/2009 15:41,1.95,17841,United Kingdom
489875,21100,CHARLIE AND LOLA CHARLOTTE BAG,1,2/12/2009 15:41,1.65,17841,United Kingdom
489875,21935,SUKI  SHOULDER BAG,1,2/12/2009 15:41,1.65,17841,United Kingdom
489875,20727,LUNCH BAG  BLACK SKULL.,1,2/12/2009 15:41,1.65,17841,United Kingdom
489875,22356,"CHARLOTTE BAG , PINK/WHITE SPOTS",2,2/12/2009 15:41," 10,236,524.00 ",17841,United Kingdom
489875,20724,RED SPOTTY CHARLOTTE BAG,1,2/12/2009 15:41,0.85,17841,United Kingdom
489875,20725,LUNCH BAG RED SPOTTY,1,2/12/2009 15:41,1.65,17841,United Kingdom
489875,20723,STRAWBERRY CHARLOTTE BAG,10,2/12/2009 15:41,0.85,17841,United Kingdom
489875,22355,"CHARLOTTE BAG , SUKI DESIGN",20,2/12/2009 15:41,0.85,17841,United Kingdom
489875,20747,PICCADILLY TEA SET,1,2/12/2009 15:41,14.95,17841,United Kingdom
489875,21846,PINK DIAMANTE PEN IN GIFT BOX,1,2/12/2009 15:41,4.95,17841,United Kingdom
489875,72800E,4 IVORY DINNER CANDLES SILVER FLOCK,1,2/12/2009 15:41,2.55,17841,United Kingdom
489875,72800A,S/4 BLACK DINNER CANDLE SILVER FLOC,2,2/12/2009 15:41,2.55,17841,United Kingdom
489875,35471A,SET OF 3 BIRD L.BLUE FEATHER,12,2/12/2009 15:41,1.25,17841,United Kingdom
489875,47504F,ENGLISH ROSE TORCH,1,2/12/2009 15:41,1.65,17841,United Kingdom
489875,22083,PAPER CHAIN KIT RETRO SPOT,1,2/12/2009 15:41,2.95,17841,United Kingdom
489875,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,5,2/12/2009 15:41,2.95,17841,United Kingdom
489875,85049A,TRADITIONAL CHRISTMAS RIBBONS,2,2/12/2009 15:41,1.25,17841,United Kingdom
489875,22200,FRYING PAN PINK POLKADOT ,1,2/12/2009 15:41,4.25,17841,United Kingdom
489875,22202,MILK PAN PINK RETROSPOT,3,2/12/2009 15:41,3.75,17841,United Kingdom
489875,21299,EDWARDIAN TOILET ROLL UNIT ,1,2/12/2009 15:41,12.75,17841,United Kingdom
489875,22114,HOT WATER BOTTLE TEA AND SYMPATHY,1,2/12/2009 15:41,3.95,17841,United Kingdom
489875,21035,SET/2 RED SPOTTY TEA TOWELS ,1,2/12/2009 15:41,2.95,17841,United Kingdom
